R,PR,Position,Name,Team,RBBR,FF Projection
56,17,QB,Jordan Love,GB,7.8,Weekly Starter,Dynasty
471,128,RB,Jordan Marshall,Michigan,6,Taxi Squad Stash,Devy
514,102,QB,Jordan Travis,Florida State,5.9,Taxi Squad Stash,Rookie
551,152,RB,Jordan Waters,Duke,5.8,Taxi Squad Stash,Rookie
457,189,WR,Jordan Whittington,Texas,6,Bench Depth,Rookie
1,1,QB,Josh Allen,BUF,9.6,Generational,Dynasty
148,55,WR,Josh Downs,IND,7.1,Weekly Starter,Dynasty
101,24,RB,Josh Jacobs,GB,7.4,Weekly Starter,Dynasty
588,93,TE,Josh Oliver,MIN,5.5,Waiver Wire Warrior,Dynasty
325,128,WR,Josh Palmer,LAC,6.4,Bench Depth,Dynasty
543,144,RB,Jovantae Barnes,Oklahoma,5.8,Taxi Squad Stash,Devy
344,139,WR,JuJu Smith-Schuster,NE,6.3,Bench Depth,Dynasty
146,36,QB,Julian Sayan,Alabama,7.1,Weekly Starter,Devy
