R,PR,Position,Name,Team,RBBR,FF Projection
325,71,QB,Hendon Hooker,DET,6.4,Bench Depth,Dynasty
173,65,WR,Marquise Brown,KC,6.9,Flex Filler,Dynasty
256,28,TE,Hunter Henry,NE,6.6,Flex Filler,Dynasty
363,142,WR,Hykeem Williams,Florida State,6.3,Bench Depth,Devy
348,96,RB,Isaac Guerendo,Louisville,6.3,Bench Depth,Rookie
604,95,TE,Isaac Rex,BYU,5.4,Waiver Wire Warrior,Rookie
211,64,RB,Isaiah Davis,South Dakota State,6.7,Flex Filler,Rookie
414,168,WR,Isaiah Hodgins,NYG,6.1,Bench Depth,Dynasty
323,37,TE,Isaiah Likely,BAL,6.4,Bench Depth,Dynasty
545,216,WR,Isaiah Neyor,Nebraska,5.8,Taxi Squad Stash,Devy
623,176,RB,Isaiah Spiller,LAC,5.0,Waiver Wire Warrior,Dynasty
524,210,WR,Isaiah Williams,Illinois,5.8,Taxi Squad Stash,Rookie
237,87,WR,Isiah Bond,Tezas,6.6,Flex Filler,Devy
126,33,RB,Isiah Pacheco,KC,7.2,Weekly Starter,Dynasty
552,153,RB,Israel Abanikanda,NYJ,5.7,Taxi Squad Stash,Dynasty
251,96,WR,J. Michael Sturdivant,UCLA,6.6,Flex Filler,Devy
209,77,WR,Ja’Lynn Polk,Washington,6.7,Flex Filler,Rookie
7,3,WR,Ja'Marr Chase,CIN,8.7,Franchise Cornerstone,Dynasty
316,90,RB,Ja'Quinden Jackson,Utah,6.4,Bench Depth,Devy
147,16,TE,Ja'Tavion Sanders,Texas,7.0,Weekly Starter,Rookie
578,157,RB,Jabari Small,Tennessee,5.5,Waiver Wire Warrior,Rookie
585,112,QB,Jack Plummer,Louisville,5.5,Waiver Wire Warrior,Rookie
504,67,TE,Jack Westover,Washington,5.9,Taxi Squad Stash,Rookie
105,26,QB,Jackson Arnold,Oklahoma,7.3,Weekly Starter,Devy
264,104,WR,Jacob Cowing,Arizona,6.5,Flex Filler,Rookie
260,58,QB,Jacoby Brissett,NE,6.5,Flex Filler,Dynasty
433,180,WR,Jacorey Brooks,Louisville,6.1,Bench Depth,Devy
220,50,QB,Jaden Rashada,Transfer Portal,6.7,Flex Filler,Devy
357,44,TE,Jaden Reddell,Georgia,6.3,Bench Depth,Devy
429,112,RB,Jaden Shirden,Monmouth,6.1,Bench Depth,Rookie
526,211,WR,Jadon Janke,South Dakota State,5.8,Taxi Squad Stash,Rookie
281,62,QB,Jadyn Davis,Michigan,6.5,Flex Filler,Devy
160,58,WR,Jahan Dotson,WAS,6.9,Flex Filler,Dynasty
346,40,TE,Jaheim Bell,Florida State,6.3,Bench Depth,Rookie
14,2,RB,Jahmyr Gibbs,DET,8.5,League Winner,Dynasty
383,150,WR,Jake Bobo,SEA,6.2,Bench Depth,Dynasty
83,13,TE,Jake Ferguson,DAL,7.5,Weekly Starter,Dynasty
397,46,TE,Jake Johnson,Texas A&M,6.2,Bench Depth,Devy
94,39,WR,Jakobi Meyers,LV,7.4,Weekly Starter,Dynasty
379,108,RB,Jaleel McLaughlin,DEN,6.3,Bench Depth,Dynasty
398,47,TE,Jaleel Skinner,Miami,6.2,Bench Depth,Devy
507,204,WR,Jalen Brown,LSU,5.9,Taxi Squad Stash,Devy
505,203,WR,Jalen Coker,Holy Cross,5.9,Taxi Squad Stash,Rookie
399,162,WR,Jalen Hale,Alabama,6.2,Bench Depth,Devy
3,3,QB,Jalen Hurts,PHI,9.3,Generational,Dynasty
164,60,WR,Jalen McMillan,Washington,6.9,Flex Filler,Rookie
367,77,QB,Jalen Milroe,Alabama,6.3,Bench Depth,Devy
493,198,WR,Jalen Nailor,MIN,5.9,Taxi Squad Stash,Dynasty
418,170,WR,Jalen Tolbert,DAL,6.1,Bench Depth,Dynasty
359,141,WR,Jalil Farooq,Oklahoma,6.3,Bench Depth,Devy
343,137,WR,Jalin Hyatt,NYG,6.3,Bench Depth,Dynasty
